,FILIAL,CODSUPERVISOR,Codigo,Data Início,Data Final
80743,1,115,5723,2023-10-17,2023-10-19
78557,1,115,5755,2023-10-17,2023-10-19
77168,1,115,5761,2023-10-17,2023-10-19
51616,1,100,5775,2023-10-17,2023-10-19
17951,1,114,5779,2023-10-17,2023-10-19
32450,1,54,5786,2023-10-17,2023-10-19
82958,1,115,5795,2023-10-17,2023-10-19
24182,1,114,5796,2023-10-17,2023-10-19
28991,1,54,5811,2023-10-17,2023-10-19
27923,1,54,5815,2023-10-17,2023-10-19
17962,1,114,5829,2023-10-17,2023-10-19
26610,1,117,5830,2023-10-17,2023-10-19
27930,1,54,5840,2023-10-17,2023-10-19
27934,1,54,5841,2023-10-17,2023-10-19
78568,1,115,5842,2023-10-17,2023-10-19
32463,1,54,5846,2023-10-17,2023-10-19
32478,1,54,5856,2023-10-17,2023-10-19
27951,1,54,5863,2023-10-17,2023-10-19
83991,1,115,5884,2023-10-17,2023-10-19
1445,1,110,5904,2023-10-17,2023-10-19
26615,1,117,5906,2023-10-17,2023-10-19
73562,1,108,5913,2023-10-17,2023-10-19
73564,1,108,5931,2023-10-17,2023-10-19
1980,1,110,5934,2023-10-17,2023-10-19
876,1,110,5952,2023-10-17,2023-10-19
83993,1,115,5962,2023-10-17,2023-10-19
27963,1,54,5996,2023-10-17,2023-10-19
35202,1,54,5998,2023-10-17,2023-10-19
7123,1,111,6015,2023-10-17,2023-10-19
31346,1,54,6020,2023-10-17,2023-10-19
53157,1,100,6026,2023-10-17,2023-10-19
27970,1,54,6036,2023-10-17,2023-10-19
5316,1,111,6053,2023-10-17,2023-10-19
878,1,110,6059,2023-10-17,2023-10-19
886,1,110,6063,2023-10-17,2023-10-19
51623,1,100,6080,2023-10-17,2023-10-19
51636,1,100,6084,2023-10-17,2023-10-19
51643,1,100,6086,2023-10-17,2023-10-19
51658,1,100,6087,2023-10-17,2023-10-19
34287,1,54,6091,2023-10-17,2023-10-19
51677,1,100,6108,2023-10-17,2023-10-19
26043,1,117,6112,2023-10-17,2023-10-19
74857,1,108,6115,2023-10-17,2023-10-19
52290,1,100,6117,2023-10-17,2023-10-19
52296,1,100,6128,2023-10-17,2023-10-19
52302,1,100,6129,2023-10-17,2023-10-19
52316,1,100,6141,2023-10-17,2023-10-19
9483,1,111,6166,2023-10-17,2023-10-19
26054,1,117,6184,2023-10-17,2023-10-19
14588,1,113,6187,2023-10-17,2023-10-19
26622,1,117,6189,2023-10-17,2023-10-19
50741,1,100,6191,2023-10-17,2023-10-19
50748,1,100,6196,2023-10-17,2023-10-19
53162,1,100,6228,2023-10-17,2023-10-19
76223,1,108,6231,2023-10-17,2023-10-19
82970,1,115,6233,2023-10-17,2023-10-19
80749,1,115,6245,2023-10-17,2023-10-19
64705,1,108,6248,2023-10-17,2023-10-19
78583,1,115,6274,2023-10-17,2023-10-19
50762,1,100,6284,2023-10-17,2023-10-19
64714,1,108,6291,2023-10-17,2023-10-19
78586,1,115,6298,2023-10-17,2023-10-19
50778,1,100,6320,2023-10-17,2023-10-19
56261,1,100,6340,2023-10-17,2023-10-19
8442,1,111,6346,2023-10-17,2023-10-19
